Seed,K,Gamma,GlobalFC
13,1,1.75,0.5524
13,1.25,0.25,0.9528
13,1.25,0.5,0.8548
13,1.25,0.75,0.768
13,1.25,1,0.7013
13,1.25,1.25,0.6504
13,1.25,1.5,0.6115
13,1.25,1.75,0.5821
13,1.5,0.25,0.9597
13,1.5,0.5,0.875
13,1.5,0.75,0.7934
13,1.5,1,0.7284
13,1.5,1.25,0.6778
13,1.5,1.5,0.6383
13,1.5,1.75,0.6075
13,1.75,0.25,0.964
13,1.75,0.5,0.8913
13,1.75,0.75,0.8145
13,1.75,1,0.7515
13,1.75,1.25,0.7013
13,1.75,1.5,0.6615
13,1.75,1.75,0.6298
14,0.25,0.25,0.8081
14,0.25,0.5,0.698
14,0.25,0.75,0.6557
14,0.25,1,0.618
14,0.25,1.25,0.564
14,0.25,1.5,0.5279
14,0.25,1.75,0.5027
14,0.5,0.25,0.8961
14,0.5,0.5,0.7697
14,0.5,0.75,0.7122
14,0.5,1,0.6702
14,0.5,1.25,0.6355
14,0.5,1.5,0.6046
14,0.5,1.75,0.5776
14,0.75,0.25,0.9305
14,0.75,0.5,0.8157
14,0.75,0.75,0.7459
14,0.75,1,0.7017
14,0.75,1.25,0.6691
14,0.75,1.5,0.6427
14,0.75,1.75,0.6187
14,1,0.25,0.9492
14,1,0.5,0.8472
14,1,0.75,0.7747
14,1,1,0.7271
14,1,1.25,0.693
14,1,1.5,0.6664
14,1,1.75,0.6439
14,1.25,0.25,0.9602
14,1.25,0.5,0.8712
14,1.25,0.75,0.799
14,1.25,1,0.7491
14,1.25,1.25,0.7133
14,1.25,1.5,0.686
14,1.25,1.75,0.6638
14,1.5,0.25,0.9668
14,1.5,0.5,0.8902
14,1.5,0.75,0.8199
14,1.5,1,0.7687
14,1.5,1.25,0.7315
14,1.5,1.5,0.7033
14,1.5,1.75,0.6808
14,1.75,0.25,0.9707
14,1.75,0.5,0.9057
14,1.75,0.75,0.8381
14,1.75,1,0.7865
14,1.75,1.25,0.7482
14,1.75,1.5,0.719
14,1.75,1.75,0.6959
15,0.25,0.25,0.8204
15,0.25,0.5,0.6446
15,0.25,0.75,0.5581
15,0.25,1,0.5532
15,0.25,1.25,0.5892
15,0.25,1.5,0.5753
15,0.25,1.75,0.5387
15,0.5,0.25,0.8964
15,0.5,0.5,0.7582
15,0.5,0.75,0.6654
15,0.5,1,0.6225
15,0.5,1.25,0.6078
15,0.5,1.5,0.5925
15,0.5,1.75,0.5714
15,0.75,0.25,0.9265
15,0.75,0.5,0.8113
15,0.75,0.75,0.7246
15,0.75,1,0.6698
15,0.75,1.25,0.6377
15,0.75,1.5,0.616
15,0.75,1.75,0.5971
15,1,0.25,0.9432
15,1,0.5,0.8435
15,1,0.75,0.7628
15,1,1,0.7053
15,1,1.25,0.6664
15,1,1.5,0.6395
15,1,1.75,0.6191
15,1.25,0.25,0.9536
15,1.25,0.5,0.8666
15,1.25,0.75,0.7908
15,1.25,1,0.7334
15,1.25,1.25,0.6918
15,1.25,1.5,0.6616
15,1.25,1.75,0.6391
15,1.5,0.25,0.9603
15,1.5,0.5,0.8844
15,1.5,0.75,0.813
15,1.5,1,0.7568
15,1.5,1.25,0.7141
15,1.5,1.5,0.6819
15,1.5,1.75,0.6575
15,1.75,0.25,0.9648
15,1.75,0.5,0.8987
15,1.75,0.75,0.8314
15,1.75,1,0.7766
15,1.75,1.25,0.7337
15,1.75,1.5,0.7004
15,1.75,1.75,0.6746
16,0.25,0.25,0.8249
16,0.25,0.5,0.6522
16,0.25,0.75,0.5506
16,0.25,1,0.5412
16,0.25,1.25,0.523
16,0.25,1.5,0.4778
16,0.25,1.75,0.4383
16,0.5,0.25,0.8991
16,0.5,0.5,0.7541
16,0.5,0.75,0.6557
16,0.5,1,0.5996
16,0.5,1.25,0.5618
16,0.5,1.5,0.5269
16,0.5,1.75,0.495
16,0.75,0.25,0.9305
16,0.75,0.5,0.8055
16,0.75,0.75,0.712
16,0.75,1,0.6481
16,0.75,1.25,0.6036
16,0.75,1.5,0.5692
16,0.75,1.75,0.5411
16,1,0.25,0.9479
16,1,0.5,0.8395
16,1,0.75,0.7507
16,1,1,0.686
16,1,1.25,0.6389
16,1,1.5,0.6035
16,1,1.75,0.5762
16,1.25,0.25,0.9586
16,1.25,0.5,0.8649
16,1.25,0.75,0.7809
16,1.25,1,0.7168
